name,nametype,recclass,mass (g),fall,year,reclat,reclong,country,continent
Frontier Mountain 99023,Valid,H4,0.3,Found,1999,-72.99194,160.41111,Antarctica,Antarctica
Frontier Mountain 99024,Valid,H5/6,0.7,Found,1999,-72.99333,160.40778,Antarctica,Antarctica
Frontier Mountain 99025,Valid,H5,297.8,Found,1999,-72.98778,160.42167,Antarctica,Antarctica
Frontier Mountain 99026,Valid,H3,3.4,Found,1999,-72.99,160.40861,Antarctica,Antarctica
Frontier Mountain 99027,Valid,L4,8.2,Found,1999,-72.95583,160.435,Antarctica,Antarctica
Frontier Mountain 99028,Valid,L6,771.8,Found,1999,-72.97972,160.48639,Antarctica,Antarctica
Frontier Mountain 99029,Valid,H5,8.1,Found,1999,-72.985,160.50333,Antarctica,Antarctica
Frontier Mountain 99030,Valid,Lodranite,4.6,Found,1999,-72.96361,160.49778,Antarctica,Antarctica
Frontier Mountain 99031,Valid,L3,201.6,Found,1999,-72.9625,160.5675,Antarctica,Antarctica
Frontier Mountain 99032,Valid,H6,28.1,Found,1999,-72.9625,160.56417,Antarctica,Antarctica
Frontier Mountain 99033,Valid,H5/6,3.5,Found,1999,-72.98417,160.48694,Antarctica,Antarctica
Frontier Mountain 99034,Valid,H4,1.9,Found,1999,-72.98889,160.40306,Antarctica,Antarctica
Frontier Mountain 99035,Valid,H3/4,3.3,Found,1999,-72.99,160.40222,Antarctica,Antarctica
Frontier Mountain 99036,Valid,H3/4,6.1,Found,1999,-72.98806,160.40389,Antarctica,Antarctica
Frontier Mountain 99037,Valid,H4,19.6,Found,1999,-72.9625,160.57,Antarctica,Antarctica
Frontier Mountain 99038,Valid,H5,12.1,Found,1999,-72.97639,160.55111,Antarctica,Antarctica
Frontier Mountain 99039,Valid,H6,4.0,Found,1999,-72.95222,160.56611,Antarctica,Antarctica
Frontier Mountain 99040,Valid,CO3,71.4,Found,1999,-72.96389,160.55806,Antarctica,Antarctica
Fukang,Valid,"Pallasite, PMG",1003000.0,Found,2000,44.43333,87.63333,China,Asia
Fukue,Valid,Iron,7.3,Found,1849,32.7,128.85,,
Fuzzy Creek,Valid,"Iron, IVA",2700.0,Found,,31.61111,-99.90417,United States of America,North America
Gahanna,Valid,"Iron, IAB-MG",1201.0,Found,1950,40.01667,-82.86667,United States of America,North America
Gail,Valid,H4,4650.0,Found,1948,32.7,-101.6,United States of America,North America
Gaines County Park,Valid,H5,13700.0,Found,1977,32.83333,-102.73333,United States of America,North America
Galatia,Valid,L6,23900.0,Found,1971,38.64167,-98.88333,United States of America,North America
Galleta Flat,Valid,H4,392.0,Found,2009,32.00415,-110.37503,United States of America,North America
Gan Gan,Valid,"Iron, IVA",83000.0,Found,1984,-42.66667,-68.08333,Argentina,South America
Gao-Guenie (b),Valid,CR,344.0,Found,2002,11.65,-2.18333,Burkina Faso,Africa
Garabato,Valid,H5,160000.0,Found,1995,-28.86667,-60.2,Argentina,South America
Garden Head,Valid,"Iron, IAB-sHH",1296.0,Found,1944,49.81667,-108.46,Canada,North America
Gardner Ridge 98400,Valid,L6,77.8,Found,1998,-86.93333,-148.55,Antarctica,Antarctica
Gardner Ridge 98401,Valid,H4,5.3,Found,1998,-86.93333,-148.55,Antarctica,Antarctica
Garnett,Valid,H4,4788.0,Found,1938,38.26667,-95.25,United States of America,North America
Garraf,Valid,L6,8800.0,Found,1905,41.26667,1.91667,Spain,Europe
Garrison,Valid,H5,5116.0,Found,1969,33.86333,-103.34667,United States of America,North America
Gascoyne Junction,Valid,H5,10000.0,Found,1978,-24.5,115.18333,Australia,Oceania
Gay Gulch,Valid,"Iron, IAB-sHH",483.0,Found,1901,63.91667,-139.33333,Canada,North America
Gaylord,Valid,H4,8480.0,Found,1983,39.61667,-98.7,United States of America,North America
Gebel Kamil,Valid,"Iron, ungrouped",1600000.0,Found,2009,22.01833,26.08778,Egypt,Africa
Genichesk,Valid,L5/6,531.0,Found,1927,46.7,32.6,Ukraine,Europe
Geologists Range 85700,Valid,L6,2409.0,Found,1985,-82.5,155.5,Antarctica,Antarctica
Geologists Range 85701,Valid,L6,438.6,Found,1985,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99100,Valid,H5,979.5,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99101,Valid,H4,383.9,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99102,Valid,H4,340.6,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99103,Valid,H4-6,119.3,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99104,Valid,L6,100.7,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99105,Valid,L6,51.9,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99106,Valid,H5,62.8,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99107,Valid,L5,50.6,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99108,Valid,H5,89.2,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99109,Valid,H4,129.3,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99110,Valid,L6,18.5,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99111,Valid,H5,12.4,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99112,Valid,L6,39.6,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99113,Valid,L6,34.8,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99114,Valid,L6,39.9,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99115,Valid,H6,8.9,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99116,Valid,H6,11.4,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99117,Valid,L6,4.4,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99118,Valid,H6,1.1,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99119,Valid,H6,11.4,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99120,Valid,Howardite,0.5,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99121,Valid,H6,3.6,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99122,Valid,L6,0.9,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99123,Valid,H6,2.6,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99124,Valid,H6,3.2,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99125,Valid,L6,2.7,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99126,Valid,L6,0.3,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99127,Valid,H6,0.4,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99128,Valid,L6,5.2,Found,1999,-82.5,155.5,Antarctica,Antarctica
Geologists Range 99129,Valid,L6,579.9,Found,1999,-82.5,155.5,Antarctica,Antarctica
Georgetown,Valid,H6,687.0,Found,1967,39.7,-105.7,United States of America,North America
Georgetown (iron),Valid,"Iron, IAB-ung",5000.0,Found,1988,0.0,0.0,,
Gerona,Valid,H5,148.0,Found,1899,41.96667,2.81667,Spain,Europe
Ghéizel,Valid,H4,375.0,Found,1988,29.65972,20.08611,Libya,Africa
Gheriat 001,Valid,H5,20.8,Found,1990,30.65833,12.30667,Libya,Africa
Gheriat 002,Valid,L6,1125.0,Found,1990,30.50667,12.215,Libya,Africa
Ghubara,Valid,L5,1750000.0,Found,1954,19.22778,56.14278,Oman,Asia
Gibeon,Valid,"Iron, IVA",26000000.0,Found,1836,-25.5,18.0,Namibia,Africa
Gibson,Valid,Lodranite,67.1,Found,1991,-33.68333,121.8,Australia,Oceania
Gila Bend,Valid,L5,3700.0,Found,2000,33.03333,-112.61667,United States of America,North America
Gilgoin,Valid,H5,147000.0,Found,1889,-30.38333,147.2,Australia,Oceania
Gilzem,Valid,H5,436.0,Found,1987,49.87361,6.50556,Germany,Europe
Giroux,Valid,"Pallasite, PMG",4275.0,Found,1954,49.61667,-96.55,Canada,North America
Gladstone (iron),Valid,"Iron, IAB-MG",736600.0,Found,1915,-23.9,151.3,Australia,Oceania
Gladstone (stone),Valid,H4,57300.0,Found,1936,36.3,-104.0,United States of America,North America
Glasgow,Valid,"Iron, IIIAB",20400.0,Found,1922,37.01667,-85.91667,United States of America,North America
Glasston,Valid,L5,1990.0,Found,1969,48.71667,-97.3,United States of America,North America
Glen Rose (iron),Valid,"Iron, ungrouped",11000.0,Found,1934,32.25,-97.71667,United States of America,North America
Glenormiston,Valid,"Iron, ungrouped",40800.0,Found,1925,-22.9,138.71667,Australia,Oceania
Glenrothes,Valid,H5,13.0,Found,1998,56.25,-3.16667,United Kingdom,Europe
Glorieta Mountain,Valid,"Pallasite, PMG-an",148000.0,Found,1884,35.6,-105.8,United States of America,North America
Gnowangerup,Valid,"Iron, IIIAB",33600.0,Found,1976,-34.0,118.1,Australia,Oceania
Goalpara,Valid,Ureilite,2700.0,Found,1868,26.16667,90.6,India,Asia
Gobabeb,Valid,H4,27000.0,Found,1969,-23.55,15.03333,Namibia,Africa
Gold Basin,Valid,L4,61000.0,Found,1995,35.875,-114.23333,United States of America,North America
Golden Mile,Valid,H4,378.8,Found,2000,35.89,-114.16667,United States of America,North America
Golden Rule,Valid,L5,797.6,Found,1999,35.87333,-114.2,United States of America,North America
Goldstone Dry Lake,Valid,H6,1.1,Found,1999,35.37333,-116.90833,United States of America,North America
Gomez,Valid,L6,47000.0,Found,1974,33.18139,-102.40139,United States of America,North America
Goodland,Valid,L4,3628.0,Found,1923,39.35,-101.66667,United States of America,North America
Goose Creek,Valid,H5,2132.3,Found,1999,37.435,-98.31833,United States of America,North America
Goose Lake,Valid,"Iron, IAB-sLL",1169500.0,Found,1938,41.98,-120.54167,United States of America,North America
Goronyo,Valid,H4,11000.0,Found,2001,13.26667,5.4,Nigeria,Africa
Gourara,Valid,H6,1272.0,Found,2002,29.75883,1.88467,Algeria,Africa
Governador Valadares,Valid,Martian (nakhlite),158.0,Found,1958,-18.85,-41.95,Brazil,South America
Grady (1933),Valid,L3-6,4230.0,Found,1933,34.8,-103.31667,United States of America,North America
Grady (1937),Valid,H3.7,9300.0,Found,1937,34.8,-103.31667,United States of America,North America
Grady (c),Valid,H4,5700.0,Found,1970,34.8,-103.31667,United States of America,North America
Granada Creek,Valid,H,479.0,Found,1975,37.96667,-102.33333,United States of America,North America
Grand Rapids,Valid,"Iron, ungrouped",51700.0,Found,1883,42.96667,-85.76667,United States of America,North America
Grandview,Valid,L5,6400.0,Found,2008,32.788333,-101.938333,United States of America,North America
Grant,Valid,"Iron, IIIAB",525000.0,Found,1929,35.16667,-107.88333,United States of America,North America
Grant County,Valid,L6,2300.0,Found,1936,37.46667,-101.43333,United States of America,North America
Grassland,Valid,L4,4400.0,Found,1964,33.11667,-101.58333,United States of America,North America
Graves Nunataks 06100,Valid,CR2,421.8,Found,2006,0.0,0.0,,
Graves Nunataks 06101,Valid,CV3,3555.0,Found,2006,0.0,0.0,,
Graves Nunataks 06102,Valid,L5,12497.5,Found,2006,0.0,0.0,,
Graves Nunataks 06103,Valid,L5,1015.8,Found,2006,0.0,0.0,,
Graves Nunataks 06104,Valid,L5,5691.0,Found,2006,0.0,0.0,,
Graves Nunataks 06105,Valid,L5,4155.5,Found,2006,0.0,0.0,,
Graves Nunataks 06106,Valid,H5,4530.0,Found,2006,0.0,0.0,,
Graves Nunataks 06107,Valid,LL5,3657.4,Found,2006,0.0,0.0,,
Graves Nunataks 06108,Valid,L5,2323.4,Found,2006,0.0,0.0,,
Graves Nunataks 06109,Valid,L5,1618.9,Found,2006,0.0,0.0,,
Graves Nunataks 06110,Valid,L5,205.4,Found,2006,0.0,0.0,,
Graves Nunataks 06111,Valid,L5,599.6,Found,2006,0.0,0.0,,
Graves Nunataks 06112,Valid,L5,996.3,Found,2006,0.0,0.0,,
Graves Nunataks 06113,Valid,L5,1254.7,Found,2006,0.0,0.0,,
Graves Nunataks 06114,Valid,L5,906.7,Found,2006,0.0,0.0,,
Graves Nunataks 06115,Valid,L5,456.3,Found,2006,0.0,0.0,,
Graves Nunataks 06116,Valid,H5,1853.3,Found,2006,0.0,0.0,,
Graves Nunataks 06117,Valid,H5,1022.5,Found,2006,0.0,0.0,,
Graves Nunataks 06118,Valid,H5,775.6,Found,2006,0.0,0.0,,
Graves Nunataks 06119,Valid,L6,1175.7,Found,2006,0.0,0.0,,
Graves Nunataks 06120,Valid,L5,1171.3,Found,2006,0.0,0.0,,
Graves Nunataks 06121,Valid,L5,1072.8,Found,2006,0.0,0.0,,
Graves Nunataks 06122,Valid,H5,466.3,Found,2006,0.0,0.0,,
Graves Nunataks 06123,Valid,L5,965.0,Found,2006,0.0,0.0,,
Graves Nunataks 06124,Valid,LL5,499.1,Found,2006,0.0,0.0,,
Graves Nunataks 06125,Valid,L5,487.2,Found,2006,0.0,0.0,,
Graves Nunataks 06126,Valid,L5,682.1,Found,2006,0.0,0.0,,
Graves Nunataks 06127,Valid,H6,254.1,Found,2006,0.0,0.0,,
Graves Nunataks 06128,Valid,Achondrite-ung,447.6,Found,2006,0.0,0.0,,
Graves Nunataks 06129,Valid,Achondrite-ung,196.5,Found,2006,0.0,0.0,,
Graves Nunataks 06130,Valid,CV3,13.6,Found,2006,0.0,0.0,,
Graves Nunataks 06131,Valid,CM2,7.3,Found,2006,0.0,0.0,,
Graves Nunataks 06132,Valid,L5,136.5,Found,2006,0.0,0.0,,
Graves Nunataks 06133,Valid,LL6,234.0,Found,2006,0.0,0.0,,
Graves Nunataks 06134,Valid,L6,89.4,Found,2006,0.0,0.0,,
Graves Nunataks 06135,Valid,H6,207.5,Found,2006,0.0,0.0,,
Graves Nunataks 06136,Valid,L6,170.3,Found,2006,0.0,0.0,,
Graves Nunataks 06137,Valid,L5,198.7,Found,2006,0.0,0.0,,
Graves Nunataks 06138,Valid,L6,134.6,Found,2006,0.0,0.0,,
Graves Nunataks 06139,Valid,LL5,148.0,Found,2006,0.0,0.0,,
Graves Nunataks 06140,Valid,L5,139.3,Found,2006,0.0,0.0,,
Graves Nunataks 06141,Valid,H6,135.4,Found,2006,0.0,0.0,,
Graves Nunataks 06142,Valid,LL5,111.3,Found,2006,0.0,0.0,,
Graves Nunataks 06143,Valid,L5,244.3,Found,2006,0.0,0.0,,
Graves Nunataks 06144,Valid,L6,57.2,Found,2006,0.0,0.0,,
Graves Nunataks 06145,Valid,L5,84.9,Found,2006,0.0,0.0,,
Graves Nunataks 06146,Valid,LL5,192.4,Found,2006,0.0,0.0,,
Graves Nunataks 06147,Valid,LL5,143.5,Found,2006,0.0,0.0,,
Graves Nunataks 06148,Valid,L6,362.6,Found,2006,0.0,0.0,,
Graves Nunataks 06149,Valid,LL5,60.1,Found,2006,0.0,0.0,,
Graves Nunataks 06150,Valid,L6,179.5,Found,2006,0.0,0.0,,
Graves Nunataks 06151,Valid,L5,63.4,Found,2006,0.0,0.0,,
Graves Nunataks 06152,Valid,L5,126.4,Found,2006,0.0,0.0,,
Graves Nunataks 06153,Valid,L5,106.2,Found,2006,0.0,0.0,,
Graves Nunataks 06154,Valid,H5,38.8,Found,2006,0.0,0.0,,
Graves Nunataks 06155,Valid,H6,24.9,Found,2006,0.0,0.0,,
Graves Nunataks 06156,Valid,L5,7.0,Found,2006,0.0,0.0,,
Graves Nunataks 06157,Valid,Lunar (anorth),0.8,Found,2006,0.0,0.0,,
Graves Nunataks 06158,Valid,CM2,1.3,Found,2006,0.0,0.0,,
Graves Nunataks 06159,Valid,L5,5.2,Found,2006,0.0,0.0,,
Graves Nunataks 06160,Valid,L5,1.2,Found,2006,0.0,0.0,,
Graves Nunataks 06161,Valid,L5,0.5,Found,2006,0.0,0.0,,
Graves Nunataks 06162,Valid,L6,42.1,Found,2006,0.0,0.0,,
Graves Nunataks 06163,Valid,LL5,20.2,Found,2006,0.0,0.0,,
Graves Nunataks 06164,Valid,L5,11.4,Found,2006,0.0,0.0,,
Graves Nunataks 06165,Valid,H5,3.0,Found,2006,0.0,0.0,,
Graves Nunataks 06166,Valid,L5,15.5,Found,2006,0.0,0.0,,
Graves Nunataks 06167,Valid,LL6,4.9,Found,2006,0.0,0.0,,
Graves Nunataks 06168,Valid,L5,1.8,Found,2006,0.0,0.0,,
Graves Nunataks 06169,Valid,L5,4.1,Found,2006,0.0,0.0,,
Graves Nunataks 06170,Valid,LL5,191.2,Found,2006,0.0,0.0,,
Graves Nunataks 06171,Valid,LL5,233.0,Found,2006,0.0,0.0,,
Graves Nunataks 06172,Valid,CM2,21.1,Found,2006,0.0,0.0,,
Graves Nunataks 06173,Valid,CK4,5.5,Found,2006,0.0,0.0,,
Graves Nunataks 06174,Valid,L6,95.8,Found,2006,0.0,0.0,,
Graves Nunataks 06175,Valid,LL5,73.3,Found,2006,0.0,0.0,,
Graves Nunataks 06176,Valid,L5,95.8,Found,2006,0.0,0.0,,
Graves Nunataks 06177,Valid,L5,92.7,Found,2006,0.0,0.0,,
Graves Nunataks 06178,Valid,L3.5,37.0,Found,2006,0.0,0.0,,
Graves Nunataks 06179,Valid,LL4,46.1,Found,2006,0.0,0.0,,
Graves Nunataks 06180,Valid,L5,23.7,Found,2006,0.0,0.0,,
Graves Nunataks 95200,Valid,L5,25066.1,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 06181,Valid,LL5,50.4,Found,2006,0.0,0.0,,
Graves Nunataks 06182,Valid,LL6,30.7,Found,2006,0.0,0.0,,
Graves Nunataks 06183,Valid,L5,7.1,Found,2006,0.0,0.0,,
Graves Nunataks 06184,Valid,L6,37.4,Found,2006,0.0,0.0,,
Graves Nunataks 06185,Valid,LL6,54.4,Found,2006,0.0,0.0,,
Graves Nunataks 06186,Valid,LL6,9.5,Found,2006,0.0,0.0,,
Graves Nunataks 06187,Valid,L5,2.7,Found,2006,0.0,0.0,,
Graves Nunataks 06188,Valid,L5,7.5,Found,2006,0.0,0.0,,
Graves Nunataks 06189,Valid,Eucrite-unbr,2.9,Found,2006,0.0,0.0,,
Graves Nunataks 06190,Valid,L6,12.7,Found,2006,0.0,0.0,,
Graves Nunataks 06191,Valid,L5,10.1,Found,2006,0.0,0.0,,
Graves Nunataks 06192,Valid,H6,32.4,Found,2006,0.0,0.0,,
Graves Nunataks 06193,Valid,L5,4.2,Found,2006,0.0,0.0,,
Graves Nunataks 06194,Valid,L5,3.3,Found,2006,0.0,0.0,,
Graves Nunataks 06195,Valid,L5,6.2,Found,2006,0.0,0.0,,
Graves Nunataks 06196,Valid,L5,12.0,Found,2006,0.0,0.0,,
Graves Nunataks 06197,Valid,L6,11.7,Found,2006,0.0,0.0,,
Graves Nunataks 06198,Valid,LL5,8.4,Found,2006,0.0,0.0,,
Graves Nunataks 06199,Valid,H6,6.0,Found,2006,0.0,0.0,,
Graves Nunataks 06200,Valid,L5,158.6,Found,2006,0.0,0.0,,
Graves Nunataks 06201,Valid,L5,91.6,Found,2006,0.0,0.0,,
Graves Nunataks 06202,Valid,L5,65.6,Found,2006,0.0,0.0,,
Graves Nunataks 06203,Valid,LL5,63.6,Found,2006,0.0,0.0,,
Graves Nunataks 06217,Valid,L5,5.3,Found,2006,0.0,0.0,,
Graves Nunataks 06218,Valid,L5,1.6,Found,2006,0.0,0.0,,
Graves Nunataks 06219,Valid,L5,4.0,Found,2006,0.0,0.0,,
Graves Nunataks 06220,Valid,H5,4.5,Found,2006,0.0,0.0,,
Graves Nunataks 06221,Valid,L5,0.4,Found,2006,0.0,0.0,,
Graves Nunataks 06222,Valid,L5,1.1,Found,2006,0.0,0.0,,
Graves Nunataks 06223,Valid,L6,9.2,Found,2006,0.0,0.0,,
Graves Nunataks 06224,Valid,L5,3.8,Found,2006,0.0,0.0,,
Graves Nunataks 06225,Valid,L5,1.0,Found,2006,0.0,0.0,,
Graves Nunataks 06226,Valid,L5,2.2,Found,2006,0.0,0.0,,
Graves Nunataks 06227,Valid,L5,13.8,Found,2006,0.0,0.0,,
Graves Nunataks 06228,Valid,L5,10.9,Found,2006,0.0,0.0,,
Graves Nunataks 06229,Valid,L5,7.2,Found,2006,0.0,0.0,,
Graves Nunataks 06230,Valid,LL6,3.3,Found,2006,0.0,0.0,,
Graves Nunataks 06231,Valid,L5,3.2,Found,2006,0.0,0.0,,
Graves Nunataks 06232,Valid,L6,7.5,Found,2006,0.0,0.0,,
Graves Nunataks 06233,Valid,LL6,7.3,Found,2006,0.0,0.0,,
Graves Nunataks 06234,Valid,L5,4.1,Found,2006,0.0,0.0,,
Graves Nunataks 95201,Valid,H5,2990.5,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95202,Valid,H5,2006.4,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95203,Valid,L5,1205.9,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95204,Valid,H5,1173.7,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95205,Valid,Ureilite,1459.8,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95206,Valid,L6,933.2,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95207,Valid,H5,914.2,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95208,Valid,H3.7,778.3,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95209,Valid,Lodranite,948.8,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95210,Valid,H5,550.4,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95211,Valid,H6,518.8,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95212,Valid,H5,444.1,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95213,Valid,H5,372.8,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95214,Valid,H5,204.5,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95215,Valid,L4,320.6,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95216,Valid,L5,129.1,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95217,Valid,L5,134.0,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95218,Valid,H5,79.09999999999998,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95219,Valid,H5,100.8,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95220,Valid,L6,55.8,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95221,Valid,LL6,14.9,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95222,Valid,L6,19.4,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95223,Valid,H5,20.2,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95224,Valid,L4,3.1,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95225,Valid,L4,2.7,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95226,Valid,L5,16.6,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95227,Valid,L5,36.4,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95228,Valid,L6,52.2,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95229,Valid,CR2,128.9,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95230,Valid,L6,53.4,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Grosvenor Mountains 03041,Valid,L5,183.8,Found,2003,0.0,0.0,,
Graves Nunataks 95231,Valid,H4,16.2,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 95232,Valid,L4,68.9,Found,1995,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98001,Valid,H5,7296.7,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98002,Valid,H5,735.4,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98003,Valid,L5,426.7,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98004,Valid,H5,721.9,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98005,Valid,CM2,202.9,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98006,Valid,Eucrite-br,163.7,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98007,Valid,H5,82.1,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98008,Valid,H5,120.1,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98009,Valid,H5,116.9,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98010,Valid,H5,140.3,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98011,Valid,L5,104.5,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98012,Valid,H5,530.0,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98013,Valid,H4,697.5,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98014,Valid,H5,1130.7,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98015,Valid,H5,1201.9,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98016,Valid,H5,512.8,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98017,Valid,H5,341.8,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98018,Valid,H5,315.4,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98019,Valid,Eucrite-br,95.5,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98020,Valid,L5,200.9,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98021,Valid,H5,81.3,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98022,Valid,H5,62.7,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98023,Valid,H3.8,136.7,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98024,Valid,H3.8,59.1,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98025,Valid,CR2,14.4,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98026,Valid,Eucrite-br,68.4,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98027,Valid,H6,14.8,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98028,Valid,Acapulcoite,22.4,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98029,Valid,L5,8.9,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98030,Valid,Howardite,32.6,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98031,Valid,H4,2309.8,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98032,Valid,Ureilite,1699.5,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98033,Valid,Eucrite-br,123.2,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98034,Valid,H6,416.3,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
Graves Nunataks 98035,Valid,L5,248.4,Found,1998,-86.71667,-141.5,Antarctica,Antarctica
