name,nametype,recclass,mass (g),fall,year,reclat,reclong,country,continent
Banten,Valid,CM2,629.0,Fell,1933,-6.33333,106.0,Indonesia,Asia
Barbotan,Valid,H5,6400.0,Fell,1790,43.95,-0.05,France,Europe
Barea,Valid,Mesosiderite-A1,3200.0,Fell,1842,42.38333,-2.5,Spain,Europe
Barnaul,Valid,H5,23.2,Fell,1904,52.73333,84.08333,Russia,Europe
Barntrup,Valid,LL4,17.0,Fell,1886,52.0,9.1,Germany,Europe
Baroti,Valid,L6,4500.0,Fell,1910,31.61667,76.8,India,Asia
Barwell,Valid,L5,44000.0,Fell,1965,52.56528,-1.33972,United Kingdom,Europe
Bassikounou,Valid,H5,29560.0,Fell,2006,15.78333,-5.9,Mauritania,Africa
Baszkówka,Valid,L5,15500.0,Fell,1994,52.03333,20.93583,Poland,Europe
Bath,Valid,H4,21000.0,Fell,1892,45.41667,-98.31667,United States of America,North America
Bath Furnace,Valid,L6,86000.0,Fell,1902,38.25,-83.75,United States of America,North America
Battle Mountain,Valid,L6,2900.0,Fell,2012,40.66813,-117.18913,United States of America,North America
Bawku,Valid,LL5,1557.0,Fell,1989,11.08333,-0.18333,Burkina Faso,Africa
Baxter,Valid,L6,611.0,Fell,1916,36.75,-93.5,United States of America,North America
Beardsley,Valid,H5,16000.0,Fell,1929,39.8,-101.2,United States of America,North America
Beaver Creek,Valid,H5,14000.0,Fell,1893,51.16667,-117.33333,Canada,North America
Beddgelert,Valid,H5,794.0,Fell,1949,53.01667,-4.1,United Kingdom,Europe
Bells,Valid,C2-ung,375.0,Fell,1961,33.6,-96.46667,United States of America,North America
Benares (a),Valid,LL4,3700.0,Fell,1798,25.36667,82.91667,India,Asia
Benguerir,Valid,LL6,25000.0,Fell,2004,32.25,-8.15,Morocco,Africa
Beni M'hira,Valid,L6,19000.0,Fell,2001,32.86667,10.8,Tunisia,Africa
Benld,Valid,H6,1770.5,Fell,1938,39.08333,-89.15,United States of America,North America
Benoni,Valid,H6,3880.0,Fell,1943,-26.16667,28.41667,South Africa,Africa
Bensour,Valid,LL6,45000.0,Fell,2002,30.0,-7.0,Morocco,Africa
Benton,Valid,LL6,2840.0,Fell,1949,45.95,-67.55,Canada,North America
Berduc,Valid,L6,270.0,Fell,2008,-31.91,-58.32833,Argentina,South America
Béréba,Valid,Eucrite-mmict,18000.0,Fell,1924,11.65,-3.65,Burkina Faso,Africa
Berlanguillas,Valid,L6,1440.0,Fell,1811,41.68333,-3.8,Spain,Europe
Berthoud,Valid,Eucrite-mmict,960.0,Fell,2004,40.30583,-105.02325,United States of America,North America
Bethlehem,Valid,H,13.9,Fell,1859,42.53333,-73.83333,United States of America,North America
Beuste,Valid,L5,2000.0,Fell,1859,43.21667,-0.23333,France,Europe
Beyrout,Valid,LL3.8,1100.0,Fell,1921,33.88333,35.5,Lebanon,Asia
Bhagur,Valid,L6,18.0,Fell,1877,20.88333,74.83333,India,Asia
Bhawad,Valid,LL6,678.0,Fell,2002,26.50833,73.11528,India,Asia
Bherai,Valid,L6,100.0,Fell,1893,20.83333,71.46667,,
